node,feat
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,11
38,1
39,1
40,2
41,2
42,2
43,3
44,3
45,4
46,4
47,1
48,2
49,2
50,3
51,3
52,4
53,1
54,1
55,2
56,4
57,1
58,2
59,2
60,3
61,3
62,2
63,3
64,2
65,1
66,1
67,2
68,4
69,1
70,4
71,3
72,1
73,1
74,3
75,4
76,1
77,2
78,3
79,3
80,1
81,4
82,2
83,3
84,2
85,2
86,4
87,1
88,1
89,2
90,2
91,3
92,4
93,2
94,3
95,3
96,4
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,1
223,1
224,1
225,2
226,2
227,2
228,3
229,3
230,4
231,4
232,1
233,1
234,1
235,2
236,2
237,3
238,3
239,4
240,1
241,1
242,2
243,4
244,1
245,3
246,3
247,2
248,2
249,1
250,2
251,4
252,1
253,1
254,3
255,1
256,2
257,3
258,1
259,2
260,3
261,2
262,1
263,1
264,2
265,2
266,4
267,3
268,4
269,2
270,3
