idx,src,dst,time,dst_idx,ext_roll
0,0,97,0,5,0
1,1,98,0,17,0
2,2,99,0,15,0
3,3,100,0,24,0
4,4,101,0,30,0
5,5,102,0,25,0
6,6,103,0,38,0
7,7,104,0,36,0
8,8,105,0,39,0
9,9,106,0,43,0
10,10,107,0,46,0
11,11,108,0,48,0
12,12,109,0,68,0
13,13,110,0,69,0
14,14,111,0,71,0
15,15,112,0,70,0
16,16,113,0,83,0
17,17,114,0,89,0
18,18,115,0,88,0
19,19,116,0,99,0
20,20,117,0,119,0
21,21,118,0,125,0
22,22,119,0,131,0
23,23,120,0,124,0
24,24,121,0,140,0
25,25,122,0,138,0
26,26,123,0,136,0
27,27,124,0,158,0
28,28,125,0,170,0
29,29,126,0,171,0
30,30,127,0,182,0
31,31,128,0,178,0
32,32,129,0,191,0
33,33,130,0,194,0
34,34,131,0,198,0
35,35,132,0,199,0
36,35,133,0,209,0
37,36,134,0,212,0
38,37,135,0,27,0
39,0,97,1,5,0
40,38,136,1,8,0
41,2,99,1,15,0
42,3,100,1,24,0
43,4,101,1,30,0
44,7,104,1,36,0
45,39,137,1,33,0
46,8,105,1,39,0
47,9,106,1,43,0
48,10,107,1,46,0
49,11,108,1,48,0
50,40,138,1,65,0
51,12,109,1,68,0
52,14,111,1,71,0
53,15,112,1,70,0
54,16,113,1,83,0
55,17,114,1,89,0
56,18,115,1,88,0
57,41,139,1,101,0
58,19,116,1,99,0
59,42,140,1,106,0
60,20,117,1,119,0
61,21,118,1,125,0
62,22,119,1,131,0
63,23,120,1,124,0
64,43,141,1,129,0
65,24,121,1,140,0
66,25,122,1,138,0
67,27,124,1,158,0
68,44,142,1,159,0
69,28,125,1,170,0
70,29,126,1,171,0
71,30,127,1,182,0
72,45,143,1,180,0
73,31,128,1,178,0
74,32,129,1,191,0
75,33,130,1,194,0
76,34,131,1,198,0
77,35,133,1,209,0
78,46,144,1,206,0
79,37,135,1,27,0
80,37,145,1,32,0
81,0,97,2,5,0
82,2,99,2,15,0
83,47,146,2,21,0
84,4,101,2,30,0
85,5,102,2,25,0
86,7,147,2,31,0
87,7,104,2,36,0
88,39,137,2,33,0
89,8,105,2,39,0
90,9,106,2,43,0
91,10,107,2,46,0
92,11,108,2,48,0
93,48,148,2,59,0
94,40,138,2,65,0
95,12,109,2,68,0
96,14,111,2,71,0
97,15,112,2,70,0
98,16,113,2,83,0
99,17,114,2,89,0
100,18,115,2,88,0
101,41,139,2,101,0
102,19,116,2,99,0
103,49,149,2,102,0
104,20,117,2,119,0
105,21,118,2,125,0
106,22,119,2,131,0
107,23,120,2,124,0
108,43,141,2,129,0
109,24,121,2,140,0
110,25,122,2,138,0
111,50,150,2,141,0
112,26,123,2,136,0
113,27,124,2,158,0
114,51,151,2,154,0
115,28,125,2,170,0
116,29,126,2,171,0
117,30,127,2,182,0
118,45,143,2,180,0
119,32,129,2,191,0
120,33,130,2,194,0
121,52,152,2,192,0
122,34,131,2,198,0
123,35,133,2,209,0
124,46,144,2,206,0
125,37,135,2,27,0
126,0,97,3,5,0
127,53,153,3,6,0
128,38,136,3,8,0
129,4,101,3,30,0
130,54,154,3,29,0
131,5,102,3,25,0
132,6,103,3,38,0
133,7,104,3,36,0
134,8,105,3,39,0
135,9,106,3,43,0
136,10,107,3,46,0
137,11,108,3,48,0
138,48,148,3,59,0
139,40,138,3,65,0
140,12,109,3,68,0
141,13,110,3,69,0
142,14,111,3,71,0
143,15,112,3,70,0
144,16,113,3,83,0
145,17,114,3,89,0
146,18,115,3,88,0
147,19,116,3,99,0
148,20,117,3,119,0
149,21,118,3,125,0
150,22,119,3,131,0
151,24,121,3,140,0
152,25,122,3,138,0
153,26,123,3,136,0
154,51,151,3,154,0
155,28,125,3,170,0
156,29,126,3,171,0
157,30,127,3,182,0
158,32,129,3,191,0
159,33,130,3,194,0
160,52,152,3,192,0
161,34,131,3,198,0
162,35,133,3,209,0
163,36,134,3,212,0
164,37,135,3,27,0
165,0,97,4,5,0
166,53,153,4,6,0
167,2,99,4,15,0
168,4,101,4,30,0
169,5,102,4,25,0
170,6,103,4,38,0
171,8,105,4,39,0
172,9,106,4,43,0
173,10,107,4,46,0
174,48,148,4,59,0
175,40,138,4,65,0
176,12,109,4,68,0
177,14,111,4,71,0
178,15,112,4,70,0
179,16,113,4,83,0
180,17,114,4,89,0
181,55,155,4,90,0
182,18,115,4,88,0
183,19,116,4,99,0
184,49,149,4,102,0
185,42,140,4,106,0
186,20,117,4,119,0
187,21,118,4,125,0
188,22,119,4,131,0
189,23,120,4,124,0
190,43,141,4,129,0
191,24,121,4,140,0
192,25,122,4,138,0
193,50,150,4,141,0
194,26,123,4,136,0
195,28,125,4,170,0
196,29,126,4,171,0
197,30,127,4,182,0
198,31,128,4,178,0
199,32,129,4,191,0
200,33,130,4,194,0
201,52,152,4,192,0
202,56,156,4,193,0
203,34,131,4,198,0
204,35,133,4,209,0
205,36,134,4,212,0
206,37,135,4,27,0
207,37,145,4,32,0
208,0,97,5,5,0
209,53,153,5,6,0
210,38,136,5,8,0
211,4,101,5,30,0
212,54,154,5,29,0
213,5,102,5,25,0
214,6,103,5,38,0
215,7,104,5,36,0
216,57,157,5,34,0
217,8,105,5,39,0
218,10,107,5,46,0
219,11,108,5,48,0
220,48,148,5,59,0
221,40,138,5,65,0
222,12,109,5,68,0
223,15,112,5,70,0
224,58,113,5,83,0
225,16,113,5,83,0
226,17,114,5,89,0
227,59,155,5,90,0
228,18,115,5,88,0
229,19,116,5,99,0
230,42,140,5,106,0
231,20,117,5,119,0
232,60,158,5,115,0
233,21,118,5,125,0
234,61,159,5,128,0
235,22,119,5,131,0
236,23,120,5,124,0
237,24,121,5,140,0
238,25,122,5,138,0
239,50,150,5,141,0
240,26,123,5,136,0
241,51,151,5,154,0
242,28,125,5,170,0
243,29,126,5,171,0
244,31,128,5,178,0
245,32,129,5,191,0
246,33,130,5,194,0
247,34,131,5,198,0
248,35,133,5,209,0
249,37,135,5,27,0
250,0,97,6,5,0
251,2,99,6,15,0
252,47,146,6,21,0
253,4,101,6,30,0
254,54,154,6,29,0
255,5,102,6,25,0
256,6,103,6,38,0
257,9,106,6,43,0
258,10,107,6,46,0
259,11,108,6,48,0
260,48,148,6,59,0
