idx,src,dst,time,class,ext_roll,nh_id
0,416,807,255000,1,0,1
1,416,1011,255000,1,0,6
2,416,791,255000,1,0,7
3,416,618,255000,1,0,15
4,416,622,255000,1,0,16
5,416,649,255000,1,0,22
6,416,664,255000,1,0,25
7,416,679,255000,1,0,29
8,416,711,255000,1,0,37
9,416,723,255000,1,0,39
10,416,761,255000,1,0,48
11,416,772,255000,1,0,51
12,416,792,255000,1,0,61
13,416,796,255000,1,0,62
14,416,597,255000,1,0,63
15,416,608,255000,1,0,66
16,416,658,255000,1,0,78
17,416,712,255000,1,0,91
18,416,716,255000,1,0,92
19,416,735,255000,1,0,96
20,416,747,255000,1,0,99
21,416,750,255000,1,0,100
22,416,762,255000,1,0,102
23,416,777,255000,1,0,106
24,416,632,255000,1,0,125
25,416,717,255000,1,0,146
26,416,732,255000,1,0,149
27,416,770,255000,1,0,158
28,416,606,255000,1,0,173
29,416,768,255000,1,0,211
30,416,771,255000,1,0,212
31,580,807,255000,1,0,217
32,580,719,255000,1,0,220
33,580,1011,255000,1,0,222
34,580,788,255000,1,0,222
35,580,791,255000,1,0,223
36,580,618,255000,1,0,231
37,580,622,255000,1,0,232
38,580,649,255000,1,0,238
39,580,664,255000,1,0,241
40,580,679,255000,1,0,245
41,580,711,255000,1,0,253
42,580,723,255000,1,0,255
43,580,761,255000,1,0,264
44,580,772,255000,1,0,267
45,580,796,255000,1,0,278
46,580,597,255000,1,0,279
47,580,608,255000,1,0,282
48,580,619,255000,1,0,285
49,580,658,255000,1,0,294
50,580,712,255000,1,0,307
51,580,735,255000,1,0,312
52,580,747,255000,1,0,315
53,580,750,255000,1,0,316
54,580,762,255000,1,0,318
55,580,777,255000,1,0,322
56,580,632,255000,1,0,341
57,580,717,255000,1,0,362
58,580,732,255000,1,0,365
59,580,770,255000,1,0,374
60,580,768,255000,1,0,427
61,580,771,255000,1,0,428
62,4,807,255000,1,0,433
63,4,719,255000,1,0,436
64,4,1011,255000,1,0,438
65,4,788,255000,1,0,438
66,4,791,255000,1,0,439
67,4,618,255000,1,0,447
68,4,622,255000,1,0,448
69,4,649,255000,1,0,454
70,4,664,255000,1,0,457
71,4,679,255000,1,0,461
72,4,711,255000,1,0,469
73,4,723,255000,1,0,471
74,4,761,255000,1,0,480
75,4,792,255000,1,0,493
76,4,796,255000,1,0,494
77,4,597,255000,1,0,495
78,4,608,255000,1,0,498
79,4,658,255000,1,0,510
80,4,712,255000,1,0,523
81,4,716,255000,1,0,524
82,4,735,255000,1,0,528
83,4,747,255000,1,0,531
84,4,750,255000,1,0,532
85,4,762,255000,1,0,534
86,4,777,255000,1,0,538
87,4,632,255000,1,0,557
88,4,717,255000,1,0,578
89,4,732,255000,1,0,581
90,4,770,255000,1,0,590
91,4,768,255000,1,0,643
92,4,771,255000,1,0,644
93,90,843,255000,1,0,650
94,90,879,255000,1,0,651
95,90,791,255000,1,0,655
96,90,618,255000,1,0,663
97,90,622,255000,1,0,664
98,90,649,255000,1,0,670
99,90,664,255000,1,0,673
100,90,679,255000,1,0,677
101,90,711,255000,1,0,685
102,90,723,255000,1,0,687
103,90,761,255000,1,0,696
104,90,772,255000,1,0,699
105,90,792,255000,1,0,709
106,90,796,255000,1,0,710
107,90,597,255000,1,0,711
108,90,608,255000,1,0,714
109,90,658,255000,1,0,726
110,90,712,255000,1,0,739
111,90,716,255000,1,0,740
112,90,735,255000,1,0,744
113,90,747,255000,1,0,747
114,90,750,255000,1,0,748
115,90,762,255000,1,0,750
116,90,777,255000,1,0,754
117,90,632,255000,1,0,773
118,90,717,255000,1,0,794
119,90,732,255000,1,0,797
120,90,770,255000,1,0,806
121,90,606,255000,1,0,821
122,90,768,255000,1,0,859
123,90,771,255000,1,0,860
124,110,843,255000,1,0,866
125,110,1015,255000,1,0,871
126,110,618,255000,1,0,879
127,110,622,255000,1,0,880
128,110,649,255000,1,0,886
129,110,664,255000,1,0,889
130,110,679,255000,1,0,893
131,110,711,255000,1,0,901
132,110,723,255000,1,0,903
133,110,761,255000,1,0,912
134,110,772,255000,1,0,915
135,110,792,255000,1,0,925
136,110,796,255000,1,0,926
137,110,597,255000,1,0,927
138,110,608,255000,1,0,930
139,110,658,255000,1,0,942
140,110,712,255000,1,0,955
141,110,716,255000,1,0,956
142,110,735,255000,1,0,960
143,110,747,255000,1,0,963
144,110,750,255000,1,0,964
145,110,762,255000,1,0,966
146,110,777,255000,1,0,970
147,110,632,255000,1,0,989
148,110,717,255000,1,0,1010
149,110,732,255000,1,0,1013
150,110,770,255000,1,0,1022
151,110,606,255000,1,0,1037
152,110,768,255000,1,0,1075
153,110,771,255000,1,0,1076
154,196,843,255000,1,0,1082
155,196,879,255000,1,0,1083
156,196,791,255000,1,0,1087
157,196,618,255000,1,0,1095
158,196,622,255000,1,0,1096
159,196,649,255000,1,0,1102
160,196,664,255000,1,0,1105
161,196,679,255000,1,0,1109
162,196,711,255000,1,0,1117
163,196,723,255000,1,0,1119
164,196,761,255000,1,0,1128
165,196,772,255000,1,0,1131
166,196,792,255000,1,0,1141
167,196,796,255000,1,0,1142
168,196,608,255000,1,0,1146
169,196,658,255000,1,0,1158
170,196,712,255000,1,0,1171
171,196,716,255000,1,0,1172
172,196,735,255000,1,0,1176
173,196,747,255000,1,0,1179
174,196,750,255000,1,0,1180
175,196,762,255000,1,0,1182
176,196,777,255000,1,0,1186
177,196,632,255000,1,0,1205
178,196,717,255000,1,0,1226
179,196,732,255000,1,0,1229
180,196,770,255000,1,0,1238
181,196,606,255000,1,0,1253
182,196,768,255000,1,0,1291
183,196,771,255000,1,0,1292
184,212,879,255000,1,0,1299
185,212,791,255000,1,0,1303
186,212,622,255000,1,0,1312
187,212,649,255000,1,0,1318
188,212,664,255000,1,0,1321
189,212,679,255000,1,0,1325
190,212,711,255000,1,0,1333
191,212,723,255000,1,0,1335
192,212,738,255000,1,0,1339
193,212,761,255000,1,0,1344
194,212,772,255000,1,0,1347
195,212,796,255000,1,0,1358
196,212,608,255000,1,0,1362
197,212,658,255000,1,0,1374
198,212,712,255000,1,0,1387
199,212,735,255000,1,0,1392
200,212,747,255000,1,0,1395
201,212,750,255000,1,0,1396
202,212,762,255000,1,0,1398
203,212,777,255000,1,0,1402
204,212,632,255000,1,0,1421
205,212,717,255000,1,0,1442
206,212,732,255000,1,0,1445
207,212,770,255000,1,0,1454
208,212,606,255000,1,0,1469
209,212,768,255000,1,0,1507
210,212,771,255000,1,0,1508
211,292,843,255000,1,0,1514
212,292,1011,255000,1,0,1518
213,292,1015,255000,1,0,1519
214,292,791,255000,1,0,1519
215,292,618,255000,1,0,1527
216,292,622,255000,1,0,1528
217,292,649,255000,1,0,1534
218,292,664,255000,1,0,1537
219,292,679,255000,1,0,1541
220,292,711,255000,1,0,1549
221,292,723,255000,1,0,1551
222,292,761,255000,1,0,1560
223,292,772,255000,1,0,1563
224,292,792,255000,1,0,1573
225,292,796,255000,1,0,1574
226,292,597,255000,1,0,1575
227,292,608,255000,1,0,1578
228,292,658,255000,1,0,1590
229,292,712,255000,1,0,1603
230,292,716,255000,1,0,1604
231,292,735,255000,1,0,1608
232,292,747,255000,1,0,1611
233,292,750,255000,1,0,1612
234,292,762,255000,1,0,1614
235,292,777,255000,1,0,1618
236,292,632,255000,1,0,1637
237,292,717,255000,1,0,1658
238,292,732,255000,1,0,1661
239,292,770,255000,1,0,1670
240,292,606,255000,1,0,1685
241,292,768,255000,1,0,1723
242,292,771,255000,1,0,1724
243,332,807,255000,1,0,1729
244,332,939,255000,1,0,1732
245,332,618,255000,1,0,1743
246,332,622,255000,1,0,1744
247,332,649,255000,1,0,1750
248,332,664,255000,1,0,1753
249,332,679,255000,1,0,1757
250,332,711,255000,1,0,1765
251,332,723,255000,1,0,1767
252,332,761,255000,1,0,1776
253,332,772,255000,1,0,1779
254,332,792,255000,1,0,1789
255,332,796,255000,1,0,1790
256,332,597,255000,1,0,1791
257,332,658,255000,1,0,1806
258,332,712,255000,1,0,1819
259,332,735,255000,1,0,1824
260,332,747,255000,1,0,1827
261,332,750,255000,1,0,1828
262,332,762,255000,1,0,1830
263,332,777,255000,1,0,1834
264,332,632,255000,1,0,1853
265,332,717,255000,1,0,1874
266,332,732,255000,1,0,1877
267,332,770,255000,1,0,1886
268,332,606,255000,1,0,1901
269,332,771,255000,1,0,1940
270,356,807,255000,1,0,1945
271,356,939,255000,1,0,1948
272,356,618,255000,1,0,1959
273,356,622,255000,1,0,1960
274,356,649,255000,1,0,1966
275,356,664,255000,1,0,1969
276,356,679,255000,1,0,1973
277,356,711,255000,1,0,1981
278,356,723,255000,1,0,1983
279,356,761,255000,1,0,1992
280,356,772,255000,1,0,1995
281,356,796,255000,1,0,2006
282,356,597,255000,1,0,2007
283,356,608,255000,1,0,2010
284,356,619,255000,1,0,2013
285,356,658,255000,1,0,2022
286,356,712,255000,1,0,2035
287,356,735,255000,1,0,2040
288,356,747,255000,1,0,2043
289,356,750,255000,1,0,2044
290,356,762,255000,1,0,2046
291,356,777,255000,1,0,2050
292,356,632,255000,1,0,2069
293,356,717,255000,1,0,2090
294,356,732,255000,1,0,2093
295,356,770,255000,1,0,2102
296,356,771,255000,1,0,2156
297,376,939,255000,1,0,2164
298,376,622,255000,1,0,2176
299,376,649,255000,1,0,2182
300,376,664,255000,1,0,2185
301,376,679,255000,1,0,2189
302,376,711,255000,1,0,2197
303,376,723,255000,1,0,2199
304,376,738,255000,1,0,2203
305,376,761,255000,1,0,2208
306,376,772,255000,1,0,2211
307,376,796,255000,1,0,2222
308,376,597,255000,1,0,2223
309,376,619,255000,1,0,2229
310,376,658,255000,1,0,2238
311,376,712,255000,1,0,2251
312,376,735,255000,1,0,2256
313,376,747,255000,1,0,2259
314,376,750,255000,1,0,2260
315,376,762,255000,1,0,2262
316,376,777,255000,1,0,2266
317,376,632,255000,1,0,2285
318,376,717,255000,1,0,2306
319,376,732,255000,1,0,2309
320,376,770,255000,1,0,2318
321,376,771,255000,1,0,2372
322,456,975,255000,1,0,2381
323,456,1011,255000,1,0,2382
324,456,1015,255000,1,0,2383
325,456,618,255000,1,0,2391
326,456,622,255000,1,0,2392
327,456,649,255000,1,0,2398
328,456,664,255000,1,0,2401
329,456,679,255000,1,0,2405
330,456,711,255000,1,0,2413
331,456,723,255000,1,0,2415
332,456,761,255000,1,0,2424
333,456,792,255000,1,0,2437
334,456,796,255000,1,0,2438
335,456,597,255000,1,0,2439
336,456,658,255000,1,0,2454
337,456,712,255000,1,0,2467
338,456,716,255000,1,0,2468
339,456,747,255000,1,0,2475
340,456,750,255000,1,0,2476
341,456,762,255000,1,0,2478
342,456,777,255000,1,0,2482
343,456,632,255000,1,0,2501
344,456,717,255000,1,0,2522
345,456,732,255000,1,0,2525
346,456,770,255000,1,0,2534
347,456,606,255000,1,0,2549
348,456,771,255000,1,0,2588
349,476,975,255000,1,0,2597
350,476,811,255000,1,0,2601
351,476,618,255000,1,0,2607
352,476,622,255000,1,0,2608
353,476,649,255000,1,0,2614
354,476,664,255000,1,0,2617
355,476,679,255000,1,0,2621
356,476,711,255000,1,0,2629
357,476,723,255000,1,0,2631
358,476,761,255000,1,0,2640
359,476,792,255000,1,0,2653
360,476,796,255000,1,0,2654
361,476,597,255000,1,0,2655
362,476,658,255000,1,0,2670
363,476,708,255000,1,0,2682
364,476,712,255000,1,0,2683
365,476,716,255000,1,0,2684
366,476,747,255000,1,0,2691
367,476,750,255000,1,0,2692
368,476,762,255000,1,0,2694
369,476,777,255000,1,0,2698
370,476,632,255000,1,0,2717
371,476,717,255000,1,0,2738
372,476,732,255000,1,0,2741
373,476,770,255000,1,0,2750
374,476,771,255000,1,0,2804
375,552,807,255000,1,0,2809
376,552,975,255000,1,0,2813
377,552,1011,255000,1,0,2814
378,552,1015,255000,1,0,2815
379,552,791,255000,1,0,2815
380,552,618,255000,1,0,2823
381,552,622,255000,1,0,2824
382,552,649,255000,1,0,2830
383,552,664,255000,1,0,2833
384,552,679,255000,1,0,2837
385,552,711,255000,1,0,2845
386,552,723,255000,1,0,2847
387,552,761,255000,1,0,2856
388,552,772,255000,1,0,2859
389,552,792,255000,1,0,2869
390,552,796,255000,1,0,2870
391,552,597,255000,1,0,2871
392,552,608,255000,1,0,2874
393,552,658,255000,1,0,2886
394,552,712,255000,1,0,2899
395,552,716,255000,1,0,2900
396,552,735,255000,1,0,2904
397,552,747,255000,1,0,2907
398,552,750,255000,1,0,2908
399,552,762,255000,1,0,2910
400,552,777,255000,1,0,2914
401,552,632,255000,1,0,2933
402,552,717,255000,1,0,2954
403,552,732,255000,1,0,2957
404,552,770,255000,1,0,2966
405,552,606,255000,1,0,2981
406,552,768,255000,1,0,3019
407,552,771,255000,1,0,3020
408,568,975,255000,1,0,3029
409,568,753,255000,1,0,3029
410,568,1011,255000,1,0,3030
411,568,1015,255000,1,0,3031
412,568,618,255000,1,0,3039
413,568,622,255000,1,0,3040
414,568,649,255000,1,0,3046
415,568,664,255000,1,0,3049
416,568,679,255000,1,0,3053
417,568,711,255000,1,0,3061
418,568,723,255000,1,0,3063
419,568,761,255000,1,0,3072
420,568,772,255000,1,0,3075
421,568,792,255000,1,0,3085
422,568,796,255000,1,0,3086
423,568,597,255000,1,0,3087
424,568,608,255000,1,0,3090
425,568,658,255000,1,0,3102
426,568,712,255000,1,0,3115
427,568,716,255000,1,0,3116
428,568,735,255000,1,0,3120
429,568,747,255000,1,0,3123
430,568,750,255000,1,0,3124
431,568,762,255000,1,0,3126
432,568,777,255000,1,0,3130
433,568,632,255000,1,0,3149
434,568,717,255000,1,0,3170
435,568,732,255000,1,0,3173
436,568,770,255000,1,0,3182
437,568,606,255000,1,0,3197
438,568,768,255000,1,0,3235
439,568,771,255000,1,0,3236
440,576,975,255000,1,0,3245
441,576,1015,255000,1,0,3247
442,576,811,255000,1,0,3249
443,576,618,255000,1,0,3255
444,576,622,255000,1,0,3256
445,576,649,255000,1,0,3262
446,576,664,255000,1,0,3265
447,576,679,255000,1,0,3269
448,576,711,255000,1,0,3277
449,576,723,255000,1,0,3279
450,576,761,255000,1,0,3288
451,576,772,255000,1,0,3291
452,576,792,255000,1,0,3301
453,576,796,255000,1,0,3302
454,576,597,255000,1,0,3303
455,576,658,255000,1,0,3318
456,576,712,255000,1,0,3331
457,576,716,255000,1,0,3332
458,576,735,255000,1,0,3336
459,576,747,255000,1,0,3339
460,576,750,255000,1,0,3340
461,576,762,255000,1,0,3342
462,576,777,255000,1,0,3346
463,576,632,255000,1,0,3365
464,576,717,255000,1,0,3386
465,576,732,255000,1,0,3389
466,576,770,255000,1,0,3398
467,576,606,255000,1,0,3413
468,576,771,255000,1,0,3452
469,584,596,255000,1,0,3465
470,584,823,255000,1,0,3468
471,584,622,255000,1,0,3472
472,584,649,255000,1,0,3478
473,584,664,255000,1,0,3481
474,584,679,255000,1,0,3485
475,584,711,255000,1,0,3493
476,584,723,255000,1,0,3495
477,584,761,255000,1,0,3504
478,584,772,255000,1,0,3507
479,584,792,255000,1,0,3517
480,584,796,255000,1,0,3518
481,584,597,255000,1,0,3519
482,584,658,255000,1,0,3534
483,584,712,255000,1,0,3547
484,584,716,255000,1,0,3548
485,584,735,255000,1,0,3552
486,584,747,255000,1,0,3555
487,584,750,255000,1,0,3556
488,584,762,255000,1,0,3558
489,584,777,255000,1,0,3562
490,584,632,255000,1,0,3581
491,584,717,255000,1,0,3602
492,584,770,255000,1,0,3614
493,584,606,255000,1,0,3629
494,584,771,255000,1,0,3668
495,588,843,255000,1,0,3674
496,588,1015,255000,1,0,3679
497,588,618,255000,1,0,3687
498,588,622,255000,1,0,3688
499,588,649,255000,1,0,3694
500,588,664,255000,1,0,3697
501,588,679,255000,1,0,3701
502,588,711,255000,1,0,3709
503,588,723,255000,1,0,3711
504,588,761,255000,1,0,3720
505,588,772,255000,1,0,3723
506,588,792,255000,1,0,3733
507,588,796,255000,1,0,3734
508,588,597,255000,1,0,3735
509,588,658,255000,1,0,3750
510,588,712,255000,1,0,3763
511,588,716,255000,1,0,3764
512,588,735,255000,1,0,3768
513,588,747,255000,1,0,3771
514,588,750,255000,1,0,3772
515,588,762,255000,1,0,3774
516,588,777,255000,1,0,3778
517,588,632,255000,1,0,3797
518,588,717,255000,1,0,3818
519,588,732,255000,1,0,3821
520,588,770,255000,1,0,3830
521,588,606,255000,1,0,3845
522,588,768,255000,1,0,3883
523,588,771,255000,1,0,3884
524,592,843,255000,1,0,3890
525,592,1015,255000,1,0,3895
526,592,618,255000,1,0,3903
527,592,622,255000,1,0,3904
528,592,649,255000,1,0,3910
529,592,664,255000,1,0,3913
530,592,679,255000,1,0,3917
531,592,711,255000,1,0,3925
532,592,723,255000,1,0,3927
533,592,761,255000,1,0,3936
534,592,772,255000,1,0,3939
535,592,792,255000,1,0,3949
536,592,796,255000,1,0,3950
