node,mol
416,1
580,1
4,1
90,1
110,1
196,1
212,1
292,1
332,1
356,1
376,1
456,1
476,1
552,1
568,1
576,1
584,1
588,1
592,1
0,1
8,1
12,1
16,1
20,1
24,1
28,1
32,1
36,1
40,1
44,1
48,1
52,1
56,1
60,1
64,1
68,1
72,1
86,1
94,1
98,1
102,1
106,1
114,1
118,1
122,1
126,1
130,1
134,1
138,1
142,1
146,1
150,1
154,1
158,1
162,1
176,1
180,1
184,1
188,1
192,1
200,1
204,1
208,1
216,1
220,1
224,1
228,1
232,1
236,1
240,1
244,1
248,1
252,1
256,1
260,1
264,1
268,1
272,1
276,1
280,1
284,1
288,1
296,1
300,1
304,1
308,1
312,1
316,1
320,1
324,1
328,1
336,1
340,1
344,1
348,1
352,1
360,1
364,1
368,1
372,1
380,1
384,1
388,1
392,1
396,1
400,1
404,1
408,1
412,1
420,1
424,1
428,1
432,1
436,1
440,1
444,1
448,1
452,1
460,1
464,1
468,1
472,1
480,1
484,1
488,1
492,1
496,1
500,1
504,1
508,1
512,1
516,1
520,1
524,1
528,1
532,1
536,1
540,1
544,1
548,1
556,1
560,1
564,1
572,1
417,2
581,2
5,2
91,2
111,2
197,2
213,2
293,2
333,2
357,2
377,2
457,2
477,2
553,2
569,2
577,2
585,2
589,2
593,2
1,2
9,2
13,2
17,2
21,2
25,2
29,2
33,2
37,2
41,2
45,2
49,2
53,2
57,2
61,2
65,2
69,2
73,2
87,2
95,2
99,2
103,2
107,2
115,2
119,2
123,2
127,2
131,2
135,2
139,2
143,2
147,2
151,2
155,2
159,2
163,2
177,2
181,2
185,2
189,2
193,2
201,2
205,2
209,2
217,2
221,2
225,2
229,2
233,2
237,2
241,2
245,2
249,2
253,2
257,2
261,2
265,2
269,2
273,2
277,2
281,2
285,2
289,2
297,2
301,2
305,2
309,2
313,2
317,2
321,2
325,2
329,2
337,2
341,2
345,2
349,2
353,2
361,2
365,2
369,2
373,2
381,2
385,2
389,2
393,2
397,2
401,2
405,2
409,2
413,2
421,2
425,2
429,2
433,2
437,2
441,2
445,2
449,2
453,2
461,2
465,2
469,2
473,2
481,2
485,2
489,2
493,2
497,2
501,2
505,2
509,2
513,2
517,2
521,2
525,2
529,2
533,2
537,2
541,2
545,2
549,2
557,2
561,2
565,2
573,2
418,3
582,3
6,3
92,3
112,3
